model,attempt,score_type,attack_name
file_data_LSTM,1,accuracy,PW_Injection,0.5115815691158156
file_data_LSTM,1,accuracy,SQLi,0.9172120111469455
file_data_LSTM,1,accuracy,File_Inclusion,0.9623545285882948
file_data_LSTM,1,accuracy,XSS,0.8469543374899076
file_data_LSTM,1,precision,PW_Injection,0.5
file_data_LSTM,1,precision,SQLi,0.5
file_data_LSTM,1,precision,File_Inclusion,0.5
file_data_LSTM,1,precision,XSS,0.0687768659632669
file_data_LSTM,1,recall,PW_Injection,0.4895321610578027
file_data_LSTM,1,recall,SQLi,0.499809958190802
file_data_LSTM,1,recall,File_Inclusion,0.0
file_data_LSTM,1,recall,XSS,0.5
file_data_LSTM,1,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,1,f1score,SQLi,0.49990496103402393
file_data_LSTM,1,f1score,File_Inclusion,0.0
file_data_LSTM,1,f1score,XSS,0.12092064582617656
file_data_LSTM,2,accuracy,PW_Injection,0.5118960887575196
file_data_LSTM,2,accuracy,SQLi,0.9155167030908523
file_data_LSTM,2,accuracy,File_Inclusion,0.9594399489641742
file_data_LSTM,2,accuracy,XSS,0.8465450194436135
file_data_LSTM,2,precision,PW_Injection,0.5
file_data_LSTM,2,precision,SQLi,0.5
file_data_LSTM,2,precision,File_Inclusion,0.5
file_data_LSTM,2,precision,XSS,0.06413255360623782
file_data_LSTM,2,recall,PW_Injection,0.4895321610578027
file_data_LSTM,2,recall,SQLi,0.499809958190802
file_data_LSTM,2,recall,File_Inclusion,0.0
file_data_LSTM,2,recall,XSS,0.5
file_data_LSTM,2,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,2,f1score,SQLi,0.49990496103402393
file_data_LSTM,2,f1score,File_Inclusion,0.0
file_data_LSTM,2,f1score,XSS,0.11368348306841741
file_data_LSTM,3,accuracy,PW_Injection,0.5115943832576276
file_data_LSTM,3,accuracy,SQLi,0.9183660663863964
file_data_LSTM,3,accuracy,File_Inclusion,0.9605139243912283
file_data_LSTM,3,accuracy,XSS,0.8481281820904463
file_data_LSTM,3,precision,PW_Injection,0.5
file_data_LSTM,3,precision,SQLi,0.5
file_data_LSTM,3,precision,File_Inclusion,0.5
file_data_LSTM,3,precision,XSS,0.06862551764937883
file_data_LSTM,3,recall,PW_Injection,0.4895321610578027
file_data_LSTM,3,recall,SQLi,0.499809958190802
file_data_LSTM,3,recall,File_Inclusion,0.0
file_data_LSTM,3,recall,XSS,0.5
file_data_LSTM,3,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,3,f1score,SQLi,0.49990496103402393
file_data_LSTM,3,f1score,File_Inclusion,0.0
file_data_LSTM,3,f1score,XSS,0.12068666551066412
file_data_LSTM,4,accuracy,PW_Injection,0.5114754778424235
file_data_LSTM,4,accuracy,SQLi,0.9186415141718196
file_data_LSTM,4,accuracy,File_Inclusion,0.9605772141679841
file_data_LSTM,4,accuracy,XSS,0.848
file_data_LSTM,4,precision,PW_Injection,0.5
file_data_LSTM,4,precision,SQLi,0.5
file_data_LSTM,4,precision,File_Inclusion,0.5
file_data_LSTM,4,precision,XSS,0.06524738813325448
file_data_LSTM,4,recall,PW_Injection,0.4895321610578027
file_data_LSTM,4,recall,SQLi,0.499809958190802
file_data_LSTM,4,recall,File_Inclusion,0.0
file_data_LSTM,4,recall,XSS,0.5
file_data_LSTM,4,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,4,f1score,SQLi,0.49990496103402393
file_data_LSTM,4,f1score,File_Inclusion,0.0
file_data_LSTM,4,f1score,XSS,0.11543156059285091
file_data_LSTM,5,accuracy,PW_Injection,0.5115986744372072
file_data_LSTM,5,accuracy,SQLi,0.9166093212386612
file_data_LSTM,5,accuracy,File_Inclusion,0.9617186183656277
file_data_LSTM,5,accuracy,XSS,0.8466600855544587
file_data_LSTM,5,precision,PW_Injection,0.5
file_data_LSTM,5,precision,SQLi,0.5
file_data_LSTM,5,precision,File_Inclusion,0.5
file_data_LSTM,5,precision,XSS,0.0647678501755755
file_data_LSTM,5,recall,PW_Injection,0.4895321610578027
file_data_LSTM,5,recall,SQLi,0.499809958190802
file_data_LSTM,5,recall,File_Inclusion,0.0
file_data_LSTM,5,recall,XSS,0.5
file_data_LSTM,5,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,5,f1score,SQLi,0.49990496103402393
file_data_LSTM,5,f1score,File_Inclusion,0.0
file_data_LSTM,5,f1score,XSS,0.1146804835924007
file_data_LSTM,6,accuracy,PW_Injection,0.5114772786154723
file_data_LSTM,6,accuracy,SQLi,0.9196905854977674
file_data_LSTM,6,accuracy,File_Inclusion,0.9608305010599993
file_data_LSTM,6,accuracy,XSS,0.8478345455089641
file_data_LSTM,6,precision,PW_Injection,0.5
file_data_LSTM,6,precision,SQLi,0.5
file_data_LSTM,6,precision,File_Inclusion,0.5
file_data_LSTM,6,precision,XSS,0.07002360346184107
file_data_LSTM,6,recall,PW_Injection,0.4895321610578027
file_data_LSTM,6,recall,SQLi,0.499809958190802
file_data_LSTM,6,recall,File_Inclusion,0.0
file_data_LSTM,6,recall,XSS,0.5
file_data_LSTM,6,f1score,PW_Injection,0.4947107131257829
file_data_LSTM,6,f1score,SQLi,0.49990496103402393
