,model,attack_name,score_avg,score_std
0,file_data_LSTM,PW_Injection,0.9041074057493889,0.0054767599360869106
1,file_data_LSTM,SQLi,1.0,0.0
2,file_data_LSTM,File_Inclusion,0.9,0.0
3,file_data_LSTM,XSS,0.11880884147135243,0.0069211000407415025
4,payload_LSTM,PW_Injection,0.0,0.0
5,payload_LSTM,SQLi,0.10423740293192434,0.0018464242402216043
6,payload_LSTM,File_Inclusion,0.0,0.0
7,payload_LSTM,XSS,0.00025115219151794,2.870471095201199e-06
8,DNN,PW_Injection,0.9082110422752111,0.0011884308026174166
9,DNN,SQLi,0.0,
10,DNN,File_Inclusion,0.0,
11,DNN,XSS,0.6603549560014352,0.006600592495298396
12,non_weighted_Ensemble,PW_Injection,0.9451431392748816,0.0037721400076573836
13,non_weighted_Ensemble,SQLi,1.0,0.0
14,non_weighted_Ensemble,File_Inclusion,0.9,0.0
15,non_weighted_Ensemble,XSS,0.6603549560014352,0.006600592495298396
16,weighted_Ensemble,PW_Injection,0.9451431392748816,0.0037721400076573836
17,weighted_Ensemble,SQLi,1.0,0.0
18,weighted_Ensemble,File_Inclusion,0.9,0.0
19,weighted_Ensemble,XSS,0.6603549560014352,0.006600592495298396
