,model,attack_name,score_avg,score_std
0,file_data_LSTM,PW_Injection,0.825036900087223,0.009012460900016502
1,file_data_LSTM,SQLi,1.0,0.0
2,file_data_LSTM,File_Inclusion,0.9,0.0
3,file_data_LSTM,XSS,0.9,0.0
4,payload_LSTM,PW_Injection,0.0,0.0
5,payload_LSTM,SQLi,0.05498531813655581,0.0010269577414606726
6,payload_LSTM,File_Inclusion,0.0,0.0
7,payload_LSTM,XSS,0.6,0.0
8,DNN,PW_Injection,0.8318578128670744,0.0019934887818984187
9,DNN,SQLi,0.0,
10,DNN,File_Inclusion,0.0,
11,DNN,XSS,1.0,0.0
12,non_weighted_Ensemble,PW_Injection,0.8960134892741584,0.006726885349703217
13,non_weighted_Ensemble,SQLi,1.0,0.0
14,non_weighted_Ensemble,File_Inclusion,0.9,0.0
15,non_weighted_Ensemble,XSS,1.0,0.0
16,weighted_Ensemble,PW_Injection,0.8960134892741584,0.006726885349703217
17,weighted_Ensemble,SQLi,1.0,0.0
18,weighted_Ensemble,File_Inclusion,0.9,0.0
19,weighted_Ensemble,XSS,1.0,0.0
